DATAFLOW,LAST UPDATE,freq,reporter,partner,product,flow,indicators,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,BG,WORLD,TOTAL,1,VALUE_IN_EUROS,2020,30648818670,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,BG,WORLD,TOTAL,1,VALUE_IN_EUROS,2021,39128076430,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,BG,WORLD,TOTAL,2,VALUE_IN_EUROS,2020,27966875340,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,BG,WORLD,TOTAL,2,VALUE_IN_EUROS,2021,34822253180,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,CY,EU27_2020_EXTRA,TOTAL,1,VALUE_IN_EUROS,2020,3230467931,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,CY,EU27_2020_EXTRA,TOTAL,1,VALUE_IN_EUROS,2021,3093186795,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,CY,EU27_2020_EXTRA,TOTAL,2,VALUE_IN_EUROS,2020,1782531276,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,CY,EU27_2020_EXTRA,TOTAL,2,VALUE_IN_EUROS,2021,2385207158,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,CY,EU27_2020_INTRA,TOTAL,1,VALUE_IN_EUROS,2020,4427249790,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,CY,EU27_2020_INTRA,TOTAL,1,VALUE_IN_EUROS,2021,5630447819,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,CY,EU27_2020_INTRA,TOTAL,2,VALUE_IN_EUROS,2020,914376001,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,CY,EU27_2020_INTRA,TOTAL,2,VALUE_IN_EUROS,2021,916969045,
